name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
adder_dcop_45,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,128,1,8,0.012104,0.120125,9.92441
adder_dcop_45,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,256,1,8,0.0147661,0.11904,8.06171
adder_dcop_45,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,512,1,8,0.0221286,0.151511,6.84684
c-73b,169422,169422,1279274,7.550813943879779,2,39937,151.49400630472817,4.4568084096987286e-05,1.1804842346330463e-05,0.2357249943926999,0.0008941814304206,32,1,64,0.158638,2.687263,16.9396
c-73b,169422,169422,1279274,7.550813943879779,2,39937,151.49400630472817,4.4568084096987286e-05,1.1804842346330463e-05,0.2357249943926999,0.0008941814304206,64,1,16,0.332872,3.751649,11.2705
c-73b,169422,169422,1279274,7.550813943879779,2,39937,151.49400630472817,4.4568084096987286e-05,1.1804842346330463e-05,0.2357249943926999,0.0008941814304206,128,1,128,0.694948,4.774666,6.87054
c-73b,169422,169422,1279274,7.550813943879779,2,39937,151.49400630472817,4.4568084096987286e-05,1.1804842346330463e-05,0.2357249943926999,0.0008941814304206,256,1,128,1.34677,5.410243,4.0172
c-73b,169422,169422,1279274,7.550813943879779,2,39937,151.49400630472817,4.4568084096987286e-05,1.1804842346330463e-05,0.2357249943926999,0.0008941814304206,512,1,128,2.58569,6.660577,2.57594
nemeth26,9506,9506,1511760,159.0321901956659,62,193,25.1836305612044,0.0167296644430534,0.0065221965074689,0.0203029665474437,0.002649235278898,32,2,16,0.0779674,0.078438,1.00604
nemeth26,9506,9506,1511760,159.0321901956659,62,193,25.1836305612044,0.0167296644430534,0.0065221965074689,0.0203029665474437,0.002649235278898,64,2,16,0.104335,0.102758,0.984885
nemeth26,9506,9506,1511760,159.0321901956659,62,193,25.1836305612044,0.0167296644430534,0.0065221965074689,0.0203029665474437,0.002649235278898,128,2,16,0.196731,0.189471,0.963097
nemeth26,9506,9506,1511760,159.0321901956659,62,193,25.1836305612044,0.0167296644430534,0.0065221965074689,0.0203029665474437,0.002649235278898,256,2,32,0.374723,0.360827,0.962917
nemeth26,9506,9506,1511760,159.0321901956659,62,193,25.1836305612044,0.0167296644430534,0.0065221965074689,0.0203029665474437,0.002649235278898,512,2,32,0.750971,0.703672,0.937016
circuit_2,4510,4510,21199,4.700443458980044,1,1274,22.50663513456656,0.0010422269310377,0.0002217294900221,0.2824833702882483,0.0049903847305025,32,1,8,0.00769024,0.089108,11.5872
circuit_2,4510,4510,21199,4.700443458980044,1,1274,22.50663513456656,0.0010422269310377,0.0002217294900221,0.2824833702882483,0.0049903847305025,64,1,8,0.0111411,0.128635,11.546
